id,svenskt_namn,vetenskapligt_namn,beskrivning,taggar,bild_1_url,bild_1_commons_fil,bild_1_commons_sida,bild_2_url,bild_2_commons_fil,bild_2_commons_sida,bildkategori_commons_url
1,Citronfjäril,Gonepteryx rhamni,Gulgrön och bladlik fjäril som ofta syns tidigt på våren. Den övervintrar som vuxen och kan dyka upp så snart solen värmer.,"gul, vår, trädgård, skogsbryn, lätt",https://upload.wikimedia.org/wikipedia/commons/f/f1/Citronfj%C3%A4ril_Common_brimstone_%2820286635622%29.jpg,Citronfjäril Common brimstone (20286635622).jpg,https://commons.wikimedia.org/wiki/File:Citronfj%C3%A4ril_Common_brimstone_%2820286635622%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Gonepteryx_rhamni_090406.jpg,Gonepteryx rhamni 090406.jpg,https://commons.wikimedia.org/wiki/File:Gonepteryx_rhamni_090406.jpg,https://commons.wikimedia.org/wiki/Category:Gonepteryx_rhamni
2,Nässelfjäril,Aglais urticae,"Orange fjäril med svarta, gula och blå tecken längs vingarna. Larverna lever på brännässlor, vilket gör arten vanlig nära gårdar och trädgårdar.","orange, nässlor, trädgård, vår, lätt",https://upload.wikimedia.org/wikipedia/commons/2/2c/Aglais_urticae_%2813869256763%29.jpg,Aglais urticae (13869256763).jpg,https://commons.wikimedia.org/wiki/File:Aglais_urticae_%2813869256763%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Aglais_urticae_-_Aglais_01.jpg,Aglais urticae - Aglais 01.jpg,https://commons.wikimedia.org/wiki/File:Aglais_urticae_-_Aglais_01.jpg,https://commons.wikimedia.org/wiki/Category:Aglais_urticae
3,Rapsfjäril,Pieris napi,"Vit fjäril med grågröna vingribbor på undersidan. Den är vanlig i många miljöer och flyger gärna längs vägkanter, ängar och trädgårdar.","vit, grönribbad, äng, vägkant, lätt",https://upload.wikimedia.org/wikipedia/commons/1/10/Green-veined_white_butterfly_%28Pieris_napi%29.jpg,Green-veined white butterfly (Pieris napi).jpg,https://commons.wikimedia.org/wiki/File:Green-veined_white_butterfly_%28Pieris_napi%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Pieris_napi_Haukipudas_Oulu_20190804_01.jpg,Pieris napi Haukipudas Oulu 20190804 01.jpg,https://commons.wikimedia.org/wiki/File:Pieris_napi_Haukipudas_Oulu_20190804_01.jpg,https://commons.wikimedia.org/wiki/Category:Pieris_napi
4,Luktgräsfjäril,Aphantopus hyperantus,Mörkbrun gräsfjäril med små ögonfläckar på vingarnas undersida. Den flyger ofta lågt och mjukt i gräsrika bryn och ängar.,"brun, ögonfläckar, äng, skogsbryn, vanlig",https://upload.wikimedia.org/wikipedia/commons/9/9d/20220702_Aphantopus_hyperantus_01.jpg,20220702 Aphantopus hyperantus 01.jpg,https://commons.wikimedia.org/wiki/File:20220702_Aphantopus_hyperantus_01.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Ringlet_butterfly_at_the_Rye_River.jpg,Ringlet butterfly at the Rye River.jpg,https://commons.wikimedia.org/wiki/File:Ringlet_butterfly_at_the_Rye_River.jpg,https://commons.wikimedia.org/wiki/Category:Aphantopus_hyperantus
5,Slåttergräsfjäril,Maniola jurtina,Brun fjäril med orange ton och en tydlig ögonfläck på framvingen. Den trivs i blomrika gräsmarker och syns ofta mitt i sommaren.,"brun, orange, äng, sommar, vanlig",https://upload.wikimedia.org/wikipedia/commons/e/e0/20210627_Maniola_jurtina.jpg,20210627 Maniola jurtina.jpg,https://commons.wikimedia.org/wiki/File:20210627_Maniola_jurtina.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/2016.07.07.-05-Felde--Grosses_Ochsenauge-Maennchen.jpg,2016.07.07.-05-Felde--Grosses Ochsenauge-Maennchen.jpg,https://commons.wikimedia.org/wiki/File:2016.07.07.-05-Felde--Grosses_Ochsenauge-Maennchen.jpg,https://commons.wikimedia.org/wiki/Category:Maniola_jurtina
6,Amiral,Vanessa atalanta,Stor mörk fjäril med rödorange band och vita fläckar. Den är en stark flyttfjäril och besöker gärna fallfrukt och sensommarblommor.,"svart, röd, flyttfjäril, trädgård, lätt",https://upload.wikimedia.org/wikipedia/commons/4/44/Admiral_butterfly_%28Vanessa_atalanta%29.jpg,Admiral butterfly (Vanessa atalanta).jpg,https://commons.wikimedia.org/wiki/File:Admiral_butterfly_%28Vanessa_atalanta%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Amiral%2C_Falsterbo%2C_Sk%C3%A5ne%2C_Oktober_2017_%2826798763489%29.jpg,"Amiral, Falsterbo, Skåne, Oktober 2017 (26798763489).jpg",https://commons.wikimedia.org/wiki/File:Amiral%2C_Falsterbo%2C_Sk%C3%A5ne%2C_Oktober_2017_%2826798763489%29.jpg,https://commons.wikimedia.org/wiki/Category:Vanessa_atalanta
7,Påfågelöga,Aglais io,Rödbrun fjäril med stora blå ögonfläckar på vingarna. Ögonfläckarna kan skrämma fåglar och gör arten mycket lätt att känna igen.,"ögonfläckar, rödbrun, trädgård, nässlor, lätt",https://upload.wikimedia.org/wikipedia/commons/3/32/Aglais_io_%28vue_dorsale%29.jpg,Aglais io (vue dorsale).jpg,https://commons.wikimedia.org/wiki/File:Aglais_io_%28vue_dorsale%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/2006-03-31_Tagpfauenauge.jpg,2006-03-31 Tagpfauenauge.jpg,https://commons.wikimedia.org/wiki/File:2006-03-31_Tagpfauenauge.jpg,https://commons.wikimedia.org/wiki/Category:Aglais_io
8,Puktörneblåvinge,Polyommatus icarus,Liten blåvinge där hanen oftast är klarblå och honan mer brun. Den sitter gärna lågt på blommor i torra ängar och vägkanter.,"blå, liten, äng, torrmark, vanlig",https://upload.wikimedia.org/wikipedia/commons/1/19/20220525_Polyommatus_icarus.jpg,20220525 Polyommatus icarus.jpg,https://commons.wikimedia.org/wiki/File:20220525_Polyommatus_icarus.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/20220713_Polyommatus_icarus_01.jpg,20220713 Polyommatus icarus 01.jpg,https://commons.wikimedia.org/wiki/File:20220713_Polyommatus_icarus_01.jpg,https://commons.wikimedia.org/wiki/Category:Polyommatus_icarus
9,Mindre guldvinge,Lycaena phlaeas,"Liten kopparorange fjäril med mörka fläckar och snabb flykt. Den trivs på soliga, torra marker där det finns låga blommor.","orange, koppar, torrmark, liten, lätt",https://upload.wikimedia.org/wikipedia/commons/f/fb/20150628Lycaena_phlaeas.jpg,20150628Lycaena phlaeas.jpg,https://commons.wikimedia.org/wiki/File:20150628Lycaena_phlaeas.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Butterfly_Small_Copper_-_Lycaena_phlaeas.jpg,Butterfly Small Copper - Lycaena phlaeas.jpg,https://commons.wikimedia.org/wiki/File:Butterfly_Small_Copper_-_Lycaena_phlaeas.jpg,https://commons.wikimedia.org/wiki/Category:Lycaena_phlaeas
10,Ängssmygare,Ochlodes sylvanus,"Orangebrun smygare med kraftig kropp och snabb, hoppande flykt. Den sitter ofta med vingarna vinklade på grässtrån och blommor.","orangebrun, smygare, gräs, äng, sommar",https://upload.wikimedia.org/wikipedia/commons/8/84/2013.06.27.-04-Ahrensberg-Rostfarbiger_Dickkopffalter-Weibchen.jpg,2013.06.27.-04-Ahrensberg-Rostfarbiger Dickkopffalter-Weibchen.jpg,https://commons.wikimedia.org/wiki/File:2013.06.27.-04-Ahrensberg-Rostfarbiger_Dickkopffalter-Weibchen.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/2014.06.27.-1-Kaefertaler_Wald-Mannheim--Rostfarbiger_Dickkopffalter-Maennchen.jpg,2014.06.27.-1-Kaefertaler Wald-Mannheim--Rostfarbiger Dickkopffalter-Maennchen.jpg,https://commons.wikimedia.org/wiki/File:2014.06.27.-1-Kaefertaler_Wald-Mannheim--Rostfarbiger_Dickkopffalter-Maennchen.jpg,https://commons.wikimedia.org/wiki/Category:Ochlodes_sylvanus
